全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,POIコード,所在地_連結表記,建物名等(方書),緯度,経度,管理番号,公簿面積,備考
092088,0114000139,栃木県小山市,守藤２号公園,モリフジニゴウコウエン,1003,栃木県小山市横倉新田94-43,,139.818576,36.277619,,,
092088,0114000140,栃木県小山市,守藤３号公園,モリフジサンゴウコウエン,1003,栃木県小山市横倉新田95-147,,139.819234,36.276019,,,
092088,0114000141,栃木県小山市,守藤１号公園,モリフジイチゴウコウエン,1003,栃木県小山市横倉新田95-76,,139.819352,36.276683,,,
092088,0114000142,栃木県小山市,青木４号公園,アオキヨンゴウコウエン,1003,栃木県小山市横倉新田98-114,,139.82051,36.277864,,,
092088,0114000143,栃木県小山市,青木３号公園,アオキサンゴウコウエン,1003,栃木県小山市横倉新田98-78,,139.82063,36.277953,,,
092088,0114000144,栃木県小山市,乙女かわらの里公園,オトメカワラノサトコウエン,1003,栃木県小山市乙女1-126-1,,139.756285,36.262292,,,
092088,0114000145,栃木県小山市,町谷公園,マチヤコウエン,1003,栃木県小山市乙女1176-87,,139.74968,36.258882,,,
092088,0114000146,栃木県小山市,北浦公園,キタウラコウエン,1003,栃木県小山市乙女1-22,,139.756995,36.264018,,,
092088,0114000147,栃木県小山市,亀田公園,カメダコウエン,1003,栃木県小山市乙女1-32,,139.754741,36.261355,,,
092088,0114000148,栃木県小山市,乙女八幡宮公園,オトメハチマングウコウエン,1003,栃木県小山市乙女1343,,139.752467,36.258142,,,
092088,0114000149,栃木県小山市,乙女上町公園,オトメカミチョウコウエン,1003,栃木県小山市乙女2-18,,139.759264,36.261255,,,
092088,0114000150,栃木県小山市,あさひの公園,アサヒノコウエン,1003,栃木県小山市乙女3-106-14,,139.7617,36.259744,,,
092088,0114000151,栃木県小山市,乙女公園,オトメコウエン,1003,栃木県小山市乙女3-29,,139.758933,36.257048,,,
092088,0114000152,栃木県小山市,楓山公園,モミジヤマコウエン,1003,栃木県小山市乙女425-4,,139.758905,36.24994,,,
092088,0114000153,栃木県小山市,楓山３号公園,モミジヤマサンゴウコウエン,1003,栃木県小山市乙女445-145,,139.759681,36.253679,,,
092088,0114000154,栃木県小山市,楓山２号公園,モミジヤマニゴウコウエン,1003,栃木県小山市乙女453-43,,139.762604,36.253355,,,
092088,0114000155,栃木県小山市,乙女河岸,オトメカシ,1003,栃木県小山市乙女字川岸1924-5,,139.747545,36.262168,,,
092088,0114000156,栃木県小山市,楓山４号公園,モミジヤマヨンゴウコウエン,1003,栃木県小山市乙女字楓山463-15,,139.761217,36.251482,,,
092088,0114000157,栃木県小山市,旧思川公園（生井ふるさと公園）,キュウオモイガワコウエン（ナマイフルサトコウエン）,1003,栃木県小山市下生井1886,,139.707038,36.240534,,,
092088,0114000158,栃木県小山市,花垣町１丁目公園,ハナガキチョウイッチョウメコウエン,1003,栃木県小山市花垣町1-1842-2,,139.806462,36.324236,,,
092088,0114000159,栃木県小山市,花垣町２丁目公園,ハナガキチョウニチョウメコウエン,1003,栃木県小山市花垣町2-2547-28,,139.808749,36.320473,,,
092088,0114000160,栃木県小山市,上台２号公園,カミダイニゴウコウエン,1003,栃木県小山市外城208-21,,139.788627,36.301628,,,
092088,0114000161,栃木県小山市,上台公園,カミダイコウエン,1003,栃木県小山市外城152-4,,139.785797,36.302055,,,
092088,0114000162,栃木県小山市,下台公園,シモダイコウエン,1003,栃木県小山市外城2-7,,139.781613,36.294871,,,
092088,0114000163,栃木県小山市,小山総合公園,オヤマソウゴウコウエン,1003,栃木県小山市外城371-1,,139.782337,36.301696,,,
092088,0114000164,栃木県小山市,巴波川決壊口祈念公園,ウズマガワケッカイコウキネンコウエン,1003,栃木県小山市寒川937,,139.723849,36.277335,,,
092088,0114000165,栃木県小山市,富士見２号公園,フジミニゴウコウエン,1003,栃木県小山市間々田1118-6,,139.763648,36.262162,,,
092088,0114000166,栃木県小山市,六本木２号公園,ロッポンギニゴウコウエン,1003,栃木県小山市間々田136-31,,139.772943,36.259842,,,
092088,0114000167,栃木県小山市,間々田八幡公園,ママダハチマンコウエン,1003,栃木県小山市間々田2369,,139.767886,36.274416,,,
092088,0114000168,栃木県小山市,愛宕北公園,アタゴキタコウエン,1003,栃木県小山市間々田2407-10,,139.770051,36.273769,,,
092088,0114000169,栃木県小山市,牧ノ内公園,マキノウチコウエン,1003,栃木県小山市間々田2450-50,,139.772258,36.277418,,,
092088,0114000170,栃木県小山市,牧ノ内６号公園,マキノウチロクゴウコウエン,1003,栃木県小山市間々田2454-104,,139.767369,36.279356,,,
092088,0114000171,栃木県小山市,牧ノ内３号公園,マキノウチサンゴウコウエン,1003,栃木県小山市間々田2454-45,,139.769075,36.279019,,,
092088,0114000172,栃木県小山市,牧ノ内５号公園,マキノウチゴゴウコウエン,1003,栃木県小山市間々田2454-95,,139.768371,36.279286,,,
092088,0114000173,栃木県小山市,学校北公園,ガッコウキタコウエン,1003,栃木県小山市間々田2461-1,,139.766488,36.278121,,,
092088,0114000174,栃木県小山市,牧ノ内４号公園,マキノウチヨンゴウコウエン,1003,栃木県小山市間々田2510-53,,139.772124,36.279926,,,
092088,0114000175,栃木県小山市,牧ノ内７号公園,マキノウチナナゴウコウエン,1003,栃木県小山市間々田2512-49,,139.772006,36.281378,,,
092088,0114000176,栃木県小山市,牧の内８号公園,マキノウチハチゴウコウエン,1003,栃木県小山市間々田2512-77,,139.771203,36.280533,,,
092088,0114000177,栃木県小山市,牧ノ内２号公園,マキノウチニゴウコウエン,1003,栃木県小山市間々田2516-41,,139.77253,36.279198,,,
092088,0114000178,栃木県小山市,五料４号公園,ゴリョウヨンゴウコウエン,1003,栃木県小山市間々田752-8,,139.776821,36.271126,,,
092088,0114000179,栃木県小山市,五料３号公園,ゴリョウサンゴウコウエン,1003,栃木県小山市間々田776-42,,139.777763,36.273561,,,
092088,0114000180,栃木県小山市,五料２号公園,ゴリョウニゴウコウエン,1003,栃木県小山市間々田776-84,,139.77737,36.273054,,,
092088,0114000181,栃木県小山市,日光道西公園,ニッコウドウニシコウエン,1003,栃木県小山市喜沢1140-63,,139.815764,36.33877,,,
092088,0114000182,栃木県小山市,日光道西２号公園,ニッコウドウニシニゴウウエン,1003,栃木県小山市喜沢1148-5,,139.816193,36.337839,,,
092088,0114000183,栃木県小山市,海道西公園,カイドウニシコウエン,1003,栃木県小山市喜沢1272-3,,139.81515,36.337819,,,
092088,0114000184,栃木県小山市,海道東公園,カイドウヒガシコウエン,1003,栃木県小山市喜沢179-15,,139.815333,36.331727,,,
092088,0114000185,栃木県小山市,海道東２号公園,カイドウヒガシニゴウコウエン,1003,栃木県小山市喜沢190-6,,139.816108,36.333874,,,
092088,0114000186,栃木県小山市,陸羽道東２号公園,リクウドウヒガシニゴウコウエン,1003,栃木県小山市喜沢588-8,,139.821782,36.341268,,,
092088,0114000187,栃木県小山市,陸羽道東公園,リクウドウヒガシコウエン,1003,栃木県小山市喜沢590-30,,139.822521,36.341568,,,
092088,0114000188,栃木県小山市,海道東３号公園,カイドウヒガシサンゴウコウエン,1003,栃木県小山市喜沢6-28,,139.814013,36.328775,,,
092088,0114000189,栃木県小山市,海道間２号公園,カイドウマニゴウコウエン,1003,栃木県小山市喜沢656-17,,139.824966,36.345605,,,
092088,0114000190,栃木県小山市,海道間３号公園,カイドウマサンゴウコウエン,1003,栃木県小山市喜沢660-142,,139.821495,36.344403,,,
092088,0114000191,栃木県小山市,海道間１号公園,カイドウマイチゴウコウエン,1003,栃木県小山市喜沢662-20,,139.823318,36.343521,,,
